"","Sample","Rep","OD","Date","Molepredict","Average","Scene Count1","Scene Count2","Scene Count 3","Scene Count 4","Clammy Count 1","Clamy Count 2","Clamy Count 3","Clamy Count 4","Density","Ppercapita"
"1","340","4",0.297,2019-03-06,49.1344707173596,25.5,NA,NA,NA,NA,NA,NA,NA,NA,255000,1.92684198891606e-13
"2","1.7","4",0.664,2019-03-06,109.849456418609,27.75,NA,NA,NA,NA,NA,NA,NA,NA,277500,3.95853897003995e-13
"3","5","4",0.379,2019-03-06,62.7002168413444,18.5,NA,NA,NA,NA,NA,NA,NA,NA,185000,3.38920091034294e-13
"4","340","3",0.212,2019-03-06,35.072416808351,25.25,NA,NA,NA,NA,NA,NA,NA,NA,252500,1.38900660627133e-13
"5","1.7","3",1.003,2019-03-06,165.932236126302,30.75,NA,NA,NA,NA,NA,NA,NA,NA,307500,5.39617028053015e-13
"6","5","3",0.378,2019-03-06,62.5347809130032,23.75,NA,NA,NA,NA,NA,NA,NA,NA,237500,2.63304340686329e-13
"7","340","2",0.449,2019-03-06,74.2807318252339,26,NA,NA,NA,NA,NA,NA,NA,NA,260000,2.85695122404746e-13
"8","1.7","2",0.896,2019-03-06,148.230591793785,28.5,NA,NA,NA,NA,NA,NA,NA,NA,285000,5.20107339627317e-13
"9","5","2",0.328,2019-03-06,54.2629844959393,21.25,NA,NA,NA,NA,NA,NA,NA,NA,212500,2.55355221157361e-13
"10","340","1",0.7,2019-03-06,115.805149838895,35,NA,NA,NA,NA,NA,NA,NA,NA,350000,3.30871856682556e-13
"11","1.7","1",0.642,2019-03-06,106.209865995101,30.75,NA,NA,NA,NA,NA,NA,NA,NA,307500,3.45397938195449e-13
"12","5","1",0.393,2019-03-06,65.0163198381223,26.25,NA,NA,NA,NA,NA,NA,NA,NA,262500,2.47681218430942e-13
"13","340","4",0.494,2019-03-08,81.7253486005914,27,NA,NA,NA,NA,NA,NA,NA,NA,270000,3.02686476298487e-13
"14","1.7","4",0.443,2019-03-08,73.2881162551863,41.75,NA,NA,NA,NA,NA,NA,NA,NA,417500,1.75540398216015e-13
"15","5","4",0.334,2019-03-08,55.2556000659869,23.25,NA,NA,NA,NA,NA,NA,NA,NA,232500,2.37658494907471e-13
"16","340","3",0.477,2019-03-08,78.9129378187897,25.25,NA,NA,NA,NA,NA,NA,NA,NA,252500,3.12526486411048e-13
"17","1.7","3",0.637,2019-03-08,105.382686353394,33.25,NA,NA,NA,NA,NA,NA,NA,NA,332500,3.16940410085396e-13
"18","5","3",0.702,2019-03-08,116.136021695577,22.5,NA,NA,NA,NA,NA,NA,NA,NA,225000,5.16160096424788e-13
"19","340","2",0.392,2019-03-08,64.8508839097811,24.5,NA,NA,NA,NA,NA,NA,NA,NA,245000,2.64697485346045e-13
"20","1.7","2",0.599,2019-03-08,99.0961210764256,31,NA,NA,NA,NA,NA,NA,NA,NA,310000,3.19664906698147e-13
"21","5","2",0.267,2019-03-08,44.1713928671213,18.25,NA,NA,NA,NA,NA,NA,NA,NA,182500,2.42035029408884e-13
"22","340","1",0.361,2019-03-08,59.7223701312014,29,NA,NA,NA,NA,NA,NA,NA,NA,290000,2.0593920734897e-13
"23","1.7","1",0.612,2019-03-08,101.246788144862,33.25,NA,NA,NA,NA,NA,NA,NA,NA,332500,3.04501618480789e-13
"24","5","1",0.368,2019-03-08,60.8804216295904,29.75,NA,NA,NA,NA,NA,NA,NA,NA,297500,2.04640072704505e-13
"25","340","3",0.223,2019-03-13,36.892212020105,27.25,36,11,24,19,4,6,5,4,272500,1.35384264293963e-13
"26","1.7","3",0.775,2019-03-13,128.212844464491,45.25,19,12,13,9,38,31,36,23,452500,2.83343302683957e-13
"27","5","3",0.574,2019-03-13,94.9602228678937,27.25,30,22,25,24,2,4,2,0,272500,3.48477882084014e-13
"28","340","2",0.869,2019-03-13,143.763821728571,38.25,28,34,36,28,9,4,12,2,382500,3.75853128702146e-13
"29","1.7","2",0.612,2019-03-13,101.246788144862,31.25,9,6,7,9,24,25,19,26,312500,3.23989722063559e-13
"30","5","2",0.479,2019-03-13,79.2438096754723,37.75,38,34,33,31,4,2,7,2,377500,2.09917376623768e-13
"31","340","1",0.763,2019-03-13,126.227613324395,41,30,34,40,28,6,5,9,12,410000,3.07872227620476e-13
"32","1.7","1",0.61,2019-03-13,100.91591628818,40.25,11,14,11,14,30,19,36,26,402500,2.50722773386782e-13
"33","5","1",0.507,2019-03-13,83.876015669028,35.75,32,39,25,38,1,1,5,2,357500,2.34618225647631e-13
"34","340","4",0.399,2019-03-04,66.00893540817,26.75,NA,NA,NA,NA,NA,NA,NA,NA,267500,2.46762375357645e-13
"35","1.7","4",1.026,2019-03-04,169.737262478151,33,NA,NA,NA,NA,NA,NA,NA,NA,330000,5.14355340842883e-13
"36","340","3",0.683,2019-03-04,112.992739057093,26.75,NA,NA,NA,NA,NA,NA,NA,NA,267500,4.22402762830254e-13
"37","1.7","3",0.857,2019-03-04,141.778590588475,32,NA,NA,NA,NA,NA,NA,NA,NA,320000,4.43058095588986e-13
"38","340","2",0.7,2019-03-04,115.805149838895,33.25,NA,NA,NA,NA,NA,NA,NA,NA,332500,3.48286164929007e-13
"39","1.7","2",0.701,2019-03-04,115.970585767236,31.25,NA,NA,NA,NA,NA,NA,NA,NA,312500,3.71105874455155e-13
"40","340","1",0.516,2019-03-04,85.3649390240996,30.75,NA,NA,NA,NA,NA,NA,NA,NA,307500,2.7760955780195e-13
